gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,sentiment_label,sentiment_confidence,num_services,is_new_customer,avg_monthly_charge,churn_probability,churn_prediction,risk_tier,top_churn_factors,recommended_action
Male,0,Yes,Yes,13,Month-to-month,Mailed check,49.95,587.45,No,Positive,0.5915184415524429,1,0,45.18846153846154,0.010583186005021313,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tidak ada Tech Support; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,16,Two year,Credit card (automatic),18.95,326.8,No,Neutral,0.5355190427470093,0,0,20.425,0.008337303221645498,No,Low,Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Male,0,Yes,No,58,One year,Credit card (automatic),100.35,5681.1,No,Positive,0.8983711646781847,3,0,97.95,7.816213160177901e-05,No,Low,Tagihan bulanan tinggi ($100.35); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,49,Month-to-month,Bank transfer (automatic),103.7,5036.3,Yes,Positive,0.4325448562368471,4,0,102.78163265306122,0.9999714174466648,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($103.70); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Male,0,No,No,25,Month-to-month,Electronic check,105.5,2686.05,No,Positive,0.9498125294832274,5,0,107.44200000000001,0.00022060682860672082,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($105.50); Fiber optic (segmen churn tinggi); Pembayaran electronic check,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,69,Two year,Credit card (automatic),113.25,7895.15,No,Positive,0.9068050416847905,6,0,114.42246376811593,0.0005667493048755989,No,Low,Tagihan bulanan tinggi ($113.25); Fiber optic (segmen churn tinggi),Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,52,One year,Mailed check,20.65,1022.95,No,Neutral,0.6876628262811363,0,0,19.672115384615385,0.000422147759764356,No,Low,Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Male,0,No,Yes,71,Two year,Bank transfer (automatic),106.7,7382.25,No,Positive,0.9639846387020028,4,0,103.97535211267606,0.00043377622163810146,No,Low,Tagihan bulanan tinggi ($106.70); Fiber optic (segmen churn tinggi); Tidak ada Tech Support,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,10,Month-to-month,Credit card (automatic),55.2,528.35,Yes,Neutral,0.4477422133560976,2,0,52.835,0.9927440570707833,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (10 bulan); Tidak ada Online Security; Hanya berlangganan sedikit layanan,Tawarkan kontrak tahunan diskon 20-30%
Female,0,No,No,21,Month-to-month,Electronic check,90.05,1862.9,No,Positive,0.5616321603678729,3,0,88.70952380952382,0.0019744418718628566,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($90.05); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Monitor rutin; ikutkan program loyalty reward
Male,1,No,No,1,Month-to-month,Electronic check,39.65,39.65,Yes,Negative,0.6380630385510183,2,1,39.65,0.9997088403729457,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (1 bulan); Feedback negatif (confidence 64%); Tidak ada Tech Support; Tidak ada Online Security,Tawarkan kontrak tahunan diskon 20-30%; Berikan trial Tech Support gratis; PRIORITAS: Outreach personal oleh tim Customer Success
Male,0,Yes,No,12,One year,Bank transfer (automatic),19.8,202.25,No,Neutral,0.6248464657557694,0,0,16.854166666666668,0.00023911700561093506,No,Low,Tenure pendek (12 bulan); Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,1,Month-to-month,Mailed check,20.15,20.15,Yes,Negative,0.7198013435333033,0,1,20.15,0.99742693913363,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (1 bulan); Feedback negatif (confidence 72%); Hanya berlangganan sedikit layanan,Tawarkan kontrak tahunan diskon 20-30%; PRIORITAS: Outreach personal oleh tim Customer Success
Female,0,Yes,No,58,Two year,Credit card (automatic),59.9,3505.1,No,Positive,0.7212318725093217,2,0,60.432758620689654,0.00023072098075991527,No,Low,Tidak ada Online Security; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Male,0,Yes,Yes,49,Month-to-month,Credit card (automatic),59.6,2970.3,No,Positive,0.9162416668245456,3,0,60.61836734693878,3.790884534708821e-05,No,Low,Kontrak bulanan (fleksibel = risiko tinggi),Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,30,Month-to-month,Bank transfer (automatic),55.3,1530.6,No,Positive,0.8390846799919597,2,0,51.019999999999996,0.001390798244630262,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tidak ada Tech Support; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Male,0,Yes,Yes,47,Month-to-month,Electronic check,99.35,4749.15,Yes,Negative,0.5958365782313412,3,0,101.04574468085106,0.9999412478598994,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($99.35); Feedback negatif (confidence 60%); Fiber optic (segmen churn tinggi); Tidak ada Tech Support,Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Male,0,Yes,Yes,1,Month-to-month,Electronic check,30.2,30.2,Yes,Negative,0.6089275286013861,1,1,30.2,0.9997608506931329,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (1 bulan); Feedback negatif (confidence 61%); Tidak ada Tech Support; Tidak ada Online Security,Tawarkan kontrak tahunan diskon 20-30%; Berikan trial Tech Support gratis; PRIORITAS: Outreach personal oleh tim Customer Success
Male,0,Yes,No,72,Two year,Credit card (automatic),90.25,6369.45,No,Positive,0.9737274933539384,6,0,88.46458333333334,0.00012802322450719504,No,Low,Tagihan bulanan tinggi ($90.25),Monitor rutin; ikutkan program loyalty reward
Female,0,No,Yes,17,Month-to-month,Mailed check,64.7,1093.1,Yes,Neutral,0.40535957934972794,2,0,64.3,0.9995948409286636,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tidak ada Tech Support; Tidak ada Online Security; Hanya berlangganan sedikit layanan,Tawarkan kontrak tahunan diskon 20-30%; Berikan trial Tech Support gratis
Female,1,Yes,No,71,Two year,Credit card (automatic),96.35,6766.95,No,Positive,0.9922185177330182,4,0,95.30915492957746,0.0006111632038061789,No,Low,Tagihan bulanan tinggi ($96.35); Fiber optic (segmen churn tinggi),Monitor rutin; ikutkan program loyalty reward
Male,1,Yes,No,2,Month-to-month,Credit card (automatic),95.5,181.65,No,Positive,0.9527717619005704,3,1,90.825,0.00021546915248984308,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (2 bulan); Tagihan bulanan tinggi ($95.50); Fiber optic (segmen churn tinggi); Tidak ada Tech Support,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,27,One year,Mailed check,66.15,1874.45,No,Positive,0.7663293877980145,4,0,69.42407407407407,0.0003986251995468685,No,Low,Tidak ada sinyal risiko dominan,Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,1,Month-to-month,Bank transfer (automatic),20.2,20.2,No,Positive,0.723236799225733,0,1,20.2,6.179342572321376e-05,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (1 bulan); Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Male,1,No,No,1,Month-to-month,Bank transfer (automatic),45.25,45.25,No,Positive,0.8521095168230703,0,1,45.25,0.00042769130461256223,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (1 bulan); Tidak ada Tech Support; Tidak ada Online Security; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,72,Two year,Bank transfer (automatic),99.9,7251.7,No,Positive,0.9558417569874581,4,0,100.71805555555555,0.00015638033890662929,No,Low,Tagihan bulanan tinggi ($99.90); Fiber optic (segmen churn tinggi),Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,5,Month-to-month,Electronic check,69.7,316.9,Yes,Neutral,0.378302443610073,0,1,63.379999999999995,0.9999523814697059,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (5 bulan); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Tawarkan kontrak tahunan diskon 20-30%; Berikan trial Tech Support gratis
Female,0,No,No,46,Month-to-month,Credit card (automatic),74.8,3548.3,No,Positive,0.9669126066648029,1,0,77.13695652173914,0.0010212421498184486,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($74.80); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,34,Month-to-month,Electronic check,106.35,3549.25,Yes,Neutral,0.36590850637238076,4,0,104.38970588235294,0.9999639889669599,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($106.35); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Female,0,No,No,11,Month-to-month,Bank transfer (automatic),97.85,1105.4,Yes,Neutral,0.6181437792987097,3,0,100.4909090909091,0.9994624241766517,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (11 bulan); Tagihan bulanan tinggi ($97.85); Fiber optic (segmen churn tinggi); Tidak ada Tech Support,Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Male,0,Yes,Yes,10,One year,Mailed check,49.55,475.7,No,Neutral,0.6955300384337438,1,0,47.57,2.623571482377325e-05,No,Low,Tenure pendek (10 bulan); Tidak ada Tech Support; Tidak ada Online Security; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,70,Two year,Credit card (automatic),69.2,4872.35,No,Positive,0.7800009558382057,3,0,69.605,0.0007760102144715431,No,Low,Tidak ada Tech Support,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,17,One year,Mailed check,20.75,418.25,No,Neutral,0.4683341684685313,0,0,24.602941176470587,9.950887512092682e-05,No,Low,Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,63,Two year,Credit card (automatic),79.85,4861.45,No,Positive,0.762526546789829,5,0,77.16587301587302,0.000122393658750457,No,Low,Tagihan bulanan tinggi ($79.85),Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,No,13,Month-to-month,Electronic check,76.2,981.45,No,Positive,0.726314366995405,4,0,75.49615384615385,0.0002780151548493901,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($76.20); Pembayaran electronic check,Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,49,Month-to-month,Electronic check,84.5,3906.7,No,Positive,0.9401085500962952,1,0,79.72857142857143,5.2847806218456826e-05,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($84.50); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,2,Month-to-month,Mailed check,49.25,97.0,No,Neutral,0.4731791058119723,1,1,48.5,0.01991632602516325,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (2 bulan); Tidak ada Tech Support; Tidak ada Online Security; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,2,Month-to-month,Electronic check,80.65,144.15,Yes,Negative,0.6268445461646983,1,1,72.075,0.9999391628606358,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (2 bulan); Tagihan bulanan tinggi ($80.65); Feedback negatif (confidence 63%); Fiber optic (segmen churn tinggi),Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Male,0,No,No,52,Two year,Credit card (automatic),79.75,4217.8,No,Positive,0.9449437986999377,4,0,81.11153846153846,0.00010224363894849618,No,Low,Tagihan bulanan tinggi ($79.75),Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,69,Two year,Credit card (automatic),64.15,4254.1,No,Positive,0.7950373614836428,3,0,61.6536231884058,0.00016733107328144526,No,Low,Tidak ada sinyal risiko dominan,Monitor rutin; ikutkan program loyalty reward
Female,1,No,No,43,Month-to-month,Electronic check,90.25,3838.75,No,Positive,0.9136712105421781,2,0,89.27325581395348,0.0034247080306503137,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($90.25); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,15,Month-to-month,Credit card (automatic),99.1,1426.4,Yes,Positive,0.5291443721397697,4,0,95.09333333333333,0.9476213714774733,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($99.10); Fiber optic (segmen churn tinggi); Tidak ada Tech Support,Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Female,1,Yes,No,25,Month-to-month,Credit card (automatic),69.5,1752.65,No,Positive,0.9354251085509199,3,0,70.10600000000001,0.006665033306582147,No,Low,Kontrak bulanan (fleksibel = risiko tinggi),Monitor rutin; ikutkan program loyalty reward
Female,1,Yes,No,8,Month-to-month,Credit card (automatic),80.65,633.3,Yes,Negative,0.5035791429344505,1,0,79.1625,0.9934479303719805,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (8 bulan); Tagihan bulanan tinggi ($80.65); Feedback negatif (confidence 50%); Fiber optic (segmen churn tinggi),Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Female,1,Yes,Yes,60,One year,Credit card (automatic),74.85,4456.35,No,Positive,0.49532900870854407,5,0,74.27250000000001,0.00027268670421789023,No,Low,Tagihan bulanan tinggi ($74.85),Monitor rutin; ikutkan program loyalty reward
Male,1,No,No,18,Month-to-month,Electronic check,95.45,1752.55,Yes,Neutral,0.49363649198808424,2,0,97.36388888888888,0.9997713455855199,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($95.45); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Female,0,Yes,Yes,63,One year,Credit card (automatic),99.65,6311.2,No,Positive,0.95537705746199,3,0,100.17777777777778,0.007301154561159983,No,Low,Tagihan bulanan tinggi ($99.65); Fiber optic (segmen churn tinggi); Tidak ada Tech Support,Monitor rutin; ikutkan program loyalty reward
Male,1,Yes,Yes,66,One year,Electronic check,108.45,7076.35,No,Positive,0.9583547120397022,5,0,107.21742424242424,0.006992469589858249,No,Low,Tagihan bulanan tinggi ($108.45); Fiber optic (segmen churn tinggi); Tidak ada Online Security; Pembayaran electronic check,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,34,Two year,Credit card (automatic),24.95,894.3,No,Positive,0.7824117935769376,0,0,26.302941176470586,2.5851863684928725e-05,No,Low,Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,72,Two year,Credit card (automatic),107.5,7853.7,No,Positive,0.9721630483571445,4,0,109.07916666666667,4.894956818370597e-05,No,Low,Tagihan bulanan tinggi ($107.50); Fiber optic (segmen churn tinggi); Tidak ada Online Security,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,No,47,Month-to-month,Electronic check,100.5,4707.1,No,Positive,0.9704339290486871,3,0,100.15106382978725,0.00048296970457510413,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($100.50); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,60,Month-to-month,Bank transfer (automatic),89.9,5450.7,No,Positive,0.9422147897044556,2,0,90.845,0.009697459076463064,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($89.90); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Monitor rutin; ikutkan program loyalty reward
Male,0,Yes,No,72,Two year,Bank transfer (automatic),42.1,2962.0,No,Positive,0.8979012102207593,3,0,41.138888888888886,9.230813999391678e-05,No,Low,Tidak ada Tech Support,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,18,One year,Credit card (automatic),54.4,957.1,No,Positive,0.7546956409055243,2,0,53.172222222222224,0.0002561922465543025,No,Low,Tidak ada Online Security; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,9,Month-to-month,Electronic check,94.4,857.25,Yes,Neutral,0.46479776229178377,2,0,95.25,0.9994728636115743,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (9 bulan); Tagihan bulanan tinggi ($94.40); Fiber optic (segmen churn tinggi); Tidak ada Tech Support,Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Female,0,No,No,3,Month-to-month,Electronic check,75.3,244.1,No,Neutral,0.5757367792138328,4,1,81.36666666666666,0.0029923866442578503,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (3 bulan); Tagihan bulanan tinggi ($75.30); Tidak ada Online Security; Pembayaran electronic check,Monitor rutin; ikutkan program loyalty reward
Male,0,Yes,No,47,One year,Electronic check,78.9,3650.35,No,Positive,0.6874866448545311,1,0,77.66702127659575,0.009983541195033894,No,Low,Tagihan bulanan tinggi ($78.90); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security; Pembayaran electronic check,Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,31,Two year,Mailed check,79.2,2497.2,No,Positive,0.7200340077184565,5,0,80.55483870967741,0.0002529328642438406,No,Low,Tagihan bulanan tinggi ($79.20); Tidak ada Online Security,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,50,Two year,Bank transfer (automatic),20.15,930.9,No,Positive,0.46646706468417654,0,0,18.618,0.001762244922032045,No,Low,Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,10,Month-to-month,Mailed check,79.85,887.35,No,Positive,0.8646215814091237,2,0,88.735,0.00044007033906861556,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (10 bulan); Tagihan bulanan tinggi ($79.85); Fiber optic (segmen churn tinggi); Tidak ada Tech Support,Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,1,Month-to-month,Mailed check,49.05,49.05,No,Positive,0.537576502743032,1,1,49.05,0.00018390413474506467,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (1 bulan); Tidak ada Online Security; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,52,One year,Electronic check,20.4,1090.65,No,Positive,0.7388377588095146,0,0,20.974038461538463,0.000137788473298299,No,Low,Pembayaran electronic check; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Male,1,Yes,Yes,64,Two year,Bank transfer (automatic),111.6,7099.0,No,Positive,0.9770203138033099,5,0,110.921875,5.086794442421473e-05,No,Low,Tagihan bulanan tinggi ($111.60); Fiber optic (segmen churn tinggi),Monitor rutin; ikutkan program loyalty reward
Male,0,Yes,Yes,62,Two year,Bank transfer (automatic),24.25,1424.6,No,Positive,0.6450433959536969,0,0,22.97741935483871,0.00024857903514449015,No,Low,Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Female,0,No,Yes,3,Month-to-month,Bank transfer (automatic),64.5,177.4,No,Positive,0.5645255632849652,3,1,59.13333333333333,0.0005069436823747173,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (3 bulan),Monitor rutin; ikutkan program loyalty reward
Female,1,No,No,56,One year,Electronic check,110.5,6139.5,No,Positive,0.9474592778821543,5,0,109.63392857142857,0.0012408804875308588,No,Low,Tagihan bulanan tinggi ($110.50); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Pembayaran electronic check,Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,46,One year,Credit card (automatic),55.65,2688.85,No,Positive,0.805958877418982,1,0,58.45326086956521,0.00015301289900929133,No,Low,Tidak ada Tech Support; Tidak ada Online Security; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,8,Month-to-month,Mailed check,54.65,482.25,No,Positive,0.8288969290628546,2,0,60.28125,0.0013544348397394126,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (8 bulan); Tidak ada Tech Support; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Male,1,No,No,30,Month-to-month,Electronic check,74.75,2111.3,No,Positive,0.7270244803756134,4,0,70.37666666666668,0.0001930040371282084,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($74.75); Tidak ada Tech Support; Pembayaran electronic check,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,Yes,45,One year,Credit card (automatic),25.9,1216.6,No,Neutral,0.5778768958770995,0,0,27.035555555555554,0.014117999438260798,No,Low,Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Female,0,No,Yes,1,Month-to-month,Electronic check,79.35,79.35,Yes,Negative,0.6890092540872529,1,1,79.35,0.9996269932227673,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (1 bulan); Tagihan bulanan tinggi ($79.35); Feedback negatif (confidence 69%); Fiber optic (segmen churn tinggi),Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Female,0,Yes,Yes,11,Month-to-month,Electronic check,50.55,565.35,No,Positive,0.9341503537712352,3,0,51.39545454545455,1.9341334850524095e-05,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (11 bulan); Tidak ada Tech Support; Pembayaran electronic check,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,No,7,Month-to-month,Bank transfer (automatic),75.15,496.9,Yes,Positive,0.668776593424706,1,0,70.98571428571428,0.9940181412688753,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (7 bulan); Tagihan bulanan tinggi ($75.15); Fiber optic (segmen churn tinggi); Tidak ada Tech Support,Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Female,0,No,No,42,Month-to-month,Bank transfer (automatic),103.8,4327.5,No,Positive,0.4800407152029345,5,0,103.03571428571429,0.006424420956350216,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($103.80); Fiber optic (segmen churn tinggi); Tidak ada Online Security,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,No,49,Two year,Bank transfer (automatic),20.15,973.35,No,Neutral,0.55418951303761,0,0,19.864285714285714,0.0003801110282299201,No,Low,Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
