gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,predicted_sentiment_label,predicted_sentiment_score,sentiment_confidence,churn_probability_modern,churn_prediction_modern,risk_tier_modern,risk_reason_modern,recommendation_modern
Female,0,Yes,Yes,69,Fiber optic,Two year,Credit card (automatic),113.25,7895.15,No,Positive,1,0.8816003701372435,0.0001434749954474185,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,52,No,One year,Mailed check,20.65,1022.95,No,Neutral,0,0.682011230122826,0.00021817750100852732,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,Yes,71,Fiber optic,Two year,Bank transfer (automatic),106.7,7382.25,No,Positive,1,0.8800205678525507,0.00011687297514189238,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,10,DSL,Month-to-month,Credit card (automatic),55.2,528.35,Yes,Negative,-1,0.5058318819663465,0.998981864763035,Yes,High,"tenure pendek, kontrak bulanan, feedback negatif","High risk -> retention call prioritas, service recovery, diskon personal, dan follow-up manajer CS"
Female,0,No,No,21,Fiber optic,Month-to-month,Electronic check,90.05,1862.9,No,Positive,1,0.8310112567690126,0.0005502106654381846,No,Low,"monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,1,No,No,1,DSL,Month-to-month,Electronic check,39.65,39.65,Yes,Negative,-1,0.7096497399068032,0.9998538674534193,Yes,High,"tenure pendek, kontrak bulanan, feedback negatif, electronic check","High risk -> retention call prioritas, service recovery, diskon personal, dan follow-up manajer CS"
Male,0,Yes,No,12,No,One year,Bank transfer (automatic),19.8,202.25,No,Positive,1,0.5710088016668623,0.00035962691445227924,No,Low,tenure pendek,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,1,No,Month-to-month,Mailed check,20.15,20.15,Yes,Negative,-1,0.8221911836536314,0.9993127910325891,Yes,High,"tenure pendek, kontrak bulanan, feedback negatif, indikasi sentiment sangat kuat","High risk -> retention call prioritas, service recovery, diskon personal, dan follow-up manajer CS"
Female,0,Yes,No,58,DSL,Two year,Credit card (automatic),59.9,3505.1,No,Positive,1,0.774764256562374,0.00032472949673006973,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,Yes,Yes,49,DSL,Month-to-month,Credit card (automatic),59.6,2970.3,No,Positive,1,0.7918349280623472,3.842357658156352e-05,No,Low,kontrak bulanan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,30,DSL,Month-to-month,Bank transfer (automatic),55.3,1530.6,No,Positive,1,0.7826304042289451,0.001989746698673715,No,Low,kontrak bulanan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,Yes,Yes,47,Fiber optic,Month-to-month,Electronic check,99.35,4749.15,Yes,Neutral,0,0.49480339057690487,0.999745826750145,Yes,High,"monthly charge tinggi, kontrak bulanan, electronic check","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Male,0,Yes,Yes,1,DSL,Month-to-month,Electronic check,30.2,30.2,Yes,Negative,-1,0.766342140265423,0.9997839255696606,Yes,High,"tenure pendek, kontrak bulanan, feedback negatif, electronic check","High risk -> retention call prioritas, service recovery, diskon personal, dan follow-up manajer CS"
Male,0,Yes,No,72,DSL,Two year,Credit card (automatic),90.25,6369.45,No,Positive,1,0.9335123207982589,0.00014565180224405494,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,Yes,17,DSL,Month-to-month,Mailed check,64.7,1093.1,Yes,Neutral,0,0.5440093805769982,0.9991991825951353,Yes,High,kontrak bulanan,"High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Female,1,Yes,No,71,Fiber optic,Two year,Credit card (automatic),96.35,6766.95,No,Positive,1,0.9760930425509383,0.0005376275874486807,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,1,Yes,No,2,Fiber optic,Month-to-month,Credit card (automatic),95.5,181.65,No,Positive,1,0.567112890585821,0.002413851989217295,No,Low,"tenure pendek, monthly charge tinggi, kontrak bulanan","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,27,DSL,One year,Mailed check,66.15,1874.45,No,Positive,1,0.808748555216826,0.00013009568647397022,No,Low,indikasi sentiment sangat kuat,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,1,No,Month-to-month,Bank transfer (automatic),20.2,20.2,No,Positive,1,0.9041300427512485,0.00019003127303343862,No,Low,"tenure pendek, kontrak bulanan, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,1,No,No,1,DSL,Month-to-month,Bank transfer (automatic),45.25,45.25,No,Positive,1,0.6835518306518359,0.000155812814048737,No,Low,"tenure pendek, kontrak bulanan","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,72,Fiber optic,Two year,Bank transfer (automatic),99.9,7251.7,No,Positive,1,0.901386108638106,0.00013980563132975422,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,5,Fiber optic,Month-to-month,Electronic check,69.7,316.9,Yes,Neutral,0,0.5896952509550141,0.9999806196149754,Yes,High,"tenure pendek, kontrak bulanan, electronic check","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Female,0,No,No,46,Fiber optic,Month-to-month,Credit card (automatic),74.8,3548.3,No,Positive,1,0.9282185214055566,0.0006589021580326476,No,Low,"monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,34,Fiber optic,Month-to-month,Electronic check,106.35,3549.25,Yes,Neutral,0,0.530147703746999,0.9999281864799411,Yes,High,"monthly charge tinggi, kontrak bulanan, electronic check","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Female,0,No,No,11,Fiber optic,Month-to-month,Bank transfer (automatic),97.85,1105.4,Yes,Neutral,0,0.4760040095172849,0.9999563005720389,Yes,High,"tenure pendek, monthly charge tinggi, kontrak bulanan","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Male,0,Yes,Yes,10,DSL,One year,Mailed check,49.55,475.7,No,Positive,1,0.5116658198188208,3.3308024151414924e-05,No,Low,tenure pendek,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,70,DSL,Two year,Credit card (automatic),69.2,4872.35,No,Positive,1,0.7607544565636608,0.0016873182876574633,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,17,No,One year,Mailed check,20.75,418.25,No,Neutral,0,0.7051898057984785,9.535563901467245e-05,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,63,DSL,Two year,Credit card (automatic),79.85,4861.45,No,Positive,1,0.914998734277795,0.00020368397680657085,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,No,13,DSL,Month-to-month,Electronic check,76.2,981.45,No,Neutral,0,0.43636027137366584,0.00507840623503453,No,Low,"monthly charge tinggi, kontrak bulanan, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,49,Fiber optic,Month-to-month,Electronic check,84.5,3906.7,No,Positive,1,0.887160125758167,5.1588614386054444e-05,No,Low,"monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,2,DSL,Month-to-month,Mailed check,49.25,97.0,No,Neutral,0,0.8771756748301677,0.007766514590944796,No,Low,"tenure pendek, kontrak bulanan, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,2,Fiber optic,Month-to-month,Electronic check,80.65,144.15,Yes,Neutral,0,0.4264965582947607,0.9998629977332039,Yes,High,"tenure pendek, monthly charge tinggi, kontrak bulanan, electronic check","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Male,0,No,No,52,DSL,Two year,Credit card (automatic),79.75,4217.8,No,Positive,1,0.7996818766850973,0.00023819765368304476,No,Low,monthly charge tinggi,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,69,DSL,Two year,Credit card (automatic),64.15,4254.1,No,Positive,1,0.91021020776699,6.631136105185513e-05,No,Low,indikasi sentiment sangat kuat,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,1,No,No,43,Fiber optic,Month-to-month,Electronic check,90.25,3838.75,No,Positive,1,0.9145423263204371,0.0009895176843790154,No,Low,"monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,15,Fiber optic,Month-to-month,Credit card (automatic),99.1,1426.4,Yes,Neutral,0,0.5770602518632144,0.9965215019701018,Yes,High,"monthly charge tinggi, kontrak bulanan","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Female,1,Yes,No,25,DSL,Month-to-month,Credit card (automatic),69.5,1752.65,No,Positive,1,0.5551578618256637,0.006976209355872418,No,Low,kontrak bulanan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,1,Yes,No,8,Fiber optic,Month-to-month,Credit card (automatic),80.65,633.3,Yes,Positive,1,0.49270802694298604,0.9961491517299041,Yes,High,"tenure pendek, monthly charge tinggi, kontrak bulanan","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Female,1,Yes,Yes,60,DSL,One year,Credit card (automatic),74.85,4456.35,No,Neutral,0,0.45886138457480435,0.01779841522760043,No,Low,monthly charge tinggi,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,1,No,No,18,Fiber optic,Month-to-month,Electronic check,95.45,1752.55,Yes,Neutral,0,0.43302522881122335,0.9999740118591045,Yes,High,"monthly charge tinggi, kontrak bulanan, electronic check","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Female,0,Yes,Yes,63,Fiber optic,One year,Credit card (automatic),99.65,6311.2,No,Positive,1,0.8546125678515338,0.01047390237137131,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,1,Yes,Yes,66,Fiber optic,One year,Electronic check,108.45,7076.35,No,Positive,1,0.814764388681659,0.004923443482335093,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,34,No,Two year,Credit card (automatic),24.95,894.3,No,Positive,1,0.7567050029774024,1.6237396754559884e-05,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,72,Fiber optic,Two year,Credit card (automatic),107.5,7853.7,No,Positive,1,0.9215094726744509,2.167492230376498e-05,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,No,47,Fiber optic,Month-to-month,Electronic check,100.5,4707.1,No,Positive,1,0.9458838461583527,0.00036725440153114467,No,Low,"monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,60,Fiber optic,Month-to-month,Bank transfer (automatic),89.9,5450.7,No,Positive,1,0.8503433266492746,0.007379830283175485,No,Low,"monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,Yes,No,72,DSL,Two year,Bank transfer (automatic),42.1,2962.0,No,Positive,1,0.8504040668051382,2.4430699308182564e-05,No,Low,indikasi sentiment sangat kuat,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,18,DSL,One year,Credit card (automatic),54.4,957.1,No,Positive,1,0.629979820044518,0.0008255038166367359,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,9,Fiber optic,Month-to-month,Electronic check,94.4,857.25,Yes,Neutral,0,0.5137486041978943,0.9994815533823055,Yes,High,"tenure pendek, monthly charge tinggi, kontrak bulanan, electronic check","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Female,0,No,No,3,DSL,Month-to-month,Electronic check,75.3,244.1,No,Neutral,0,0.5134586285623085,0.023886449958013967,No,Low,"tenure pendek, monthly charge tinggi, kontrak bulanan, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,Yes,No,47,Fiber optic,One year,Electronic check,78.9,3650.35,No,Positive,1,0.8184469474300639,0.003096521762251305,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,31,DSL,Two year,Mailed check,79.2,2497.2,No,Positive,1,0.7230131912747889,0.00015854304453896814,No,Low,monthly charge tinggi,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,50,No,Two year,Bank transfer (automatic),20.15,930.9,No,Positive,1,0.5939974645470548,0.0015086702646627394,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,10,Fiber optic,Month-to-month,Mailed check,79.85,887.35,No,Positive,1,0.8744387230682528,0.0005285740291506945,No,Low,"tenure pendek, monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,1,DSL,Month-to-month,Mailed check,49.05,49.05,No,Positive,1,0.4830595956114732,4.146326485981016e-05,No,Low,"tenure pendek, kontrak bulanan","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,52,No,One year,Electronic check,20.4,1090.65,No,Positive,1,0.8337658692109171,7.004837482891223e-05,No,Low,"indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,1,Yes,Yes,64,Fiber optic,Two year,Bank transfer (automatic),111.6,7099.0,No,Positive,1,0.9079329823355067,7.16243754382678e-05,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,Yes,Yes,62,No,Two year,Bank transfer (automatic),24.25,1424.6,No,Positive,1,0.7611557389681813,0.0003397658485661618,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,Yes,3,DSL,Month-to-month,Bank transfer (automatic),64.5,177.4,No,Positive,1,0.5921046226729678,6.095809199793603e-05,No,Low,"tenure pendek, kontrak bulanan","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,1,No,No,56,Fiber optic,One year,Electronic check,110.5,6139.5,No,Positive,1,0.9220166087048539,0.0005807949466922305,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,46,DSL,One year,Credit card (automatic),55.65,2688.85,No,Positive,1,0.6263647614894152,0.0004219513818363373,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,8,DSL,Month-to-month,Mailed check,54.65,482.25,No,Positive,1,0.864913922484615,0.0003809140202973189,No,Low,"tenure pendek, kontrak bulanan, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,1,No,No,30,DSL,Month-to-month,Electronic check,74.75,2111.3,No,Positive,1,0.6455008430410707,0.000740085224070896,No,Low,"monthly charge tinggi, kontrak bulanan, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,45,No,One year,Credit card (automatic),25.9,1216.6,No,Positive,1,0.737733273519471,0.0002082595598854569,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,Yes,1,Fiber optic,Month-to-month,Electronic check,79.35,79.35,Yes,Negative,-1,0.5006056371114515,0.999802495733294,Yes,High,"tenure pendek, monthly charge tinggi, kontrak bulanan, feedback negatif, electronic check","High risk -> retention call prioritas, service recovery, diskon personal, dan follow-up manajer CS"
Female,0,Yes,Yes,11,DSL,Month-to-month,Electronic check,50.55,565.35,No,Positive,1,0.8905015017419975,1.8083669395287477e-05,No,Low,"tenure pendek, kontrak bulanan, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,No,7,Fiber optic,Month-to-month,Bank transfer (automatic),75.15,496.9,Yes,Positive,1,0.45864265753341144,0.999047840640066,Yes,High,"tenure pendek, monthly charge tinggi, kontrak bulanan","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Female,0,No,No,42,Fiber optic,Month-to-month,Bank transfer (automatic),103.8,4327.5,No,Positive,1,0.709119605217486,0.002219256805101039,No,Low,"monthly charge tinggi, kontrak bulanan","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,No,49,No,Two year,Bank transfer (automatic),20.15,973.35,No,Positive,1,0.6172325961128098,0.00015328978430043696,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,9,Fiber optic,Month-to-month,Credit card (automatic),99.3,918.75,No,Positive,1,0.8923731996221369,0.00022902823402180073,No,Low,"tenure pendek, monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,No,35,DSL,One year,Bank transfer (automatic),62.15,2215.45,No,Neutral,0,0.5360281334400878,0.006605608412759678,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,48,No,Two year,Bank transfer (automatic),20.65,1057.0,No,Neutral,0,0.5235717531351313,0.0023180615863709407,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,46,No,Two year,Mailed check,19.95,927.1,No,Positive,1,0.834089840233832,9.659604792936618e-06,No,Low,indikasi sentiment sangat kuat,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,Yes,No,29,DSL,Month-to-month,Mailed check,33.75,1009.25,No,Positive,1,0.6523660914485985,0.0001374100848186123,No,Low,kontrak bulanan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,Yes,Yes,30,Fiber optic,Month-to-month,Bank transfer (automatic),82.05,2570.2,No,Positive,1,0.8742782427403282,0.0008586330260225616,No,Low,"monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,1,No,No,1,Fiber optic,Month-to-month,Electronic check,74.7,74.7,No,Positive,1,0.8355522484168194,0.0003629767748830239,No,Low,"tenure pendek, monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,Yes,Yes,66,DSL,Two year,Mailed check,84.0,5714.25,No,Positive,1,0.9356769462476046,0.00014385798410648077,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,65,Fiber optic,Month-to-month,Credit card (automatic),111.05,7107.0,No,Positive,1,0.8884589022388004,0.00032168555252543816,No,Low,"monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,72,Fiber optic,Two year,Bank transfer (automatic),100.9,7459.05,No,Positive,1,0.7819071867491867,0.0033324205678358057,No,Low,monthly charge tinggi,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,12,Fiber optic,Month-to-month,Electronic check,78.95,927.35,Yes,Neutral,0,0.5700420090121328,0.9999906740779477,Yes,High,"tenure pendek, monthly charge tinggi, kontrak bulanan, electronic check","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Male,0,Yes,Yes,71,DSL,One year,Credit card (automatic),66.85,4748.7,No,Positive,1,0.8575613095264398,5.7192367561179075e-05,No,Low,indikasi sentiment sangat kuat,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,5,No,Month-to-month,Mailed check,21.05,113.85,Yes,Negative,-1,0.5277868330014214,0.9988281611531201,Yes,High,"tenure pendek, kontrak bulanan, feedback negatif","High risk -> retention call prioritas, service recovery, diskon personal, dan follow-up manajer CS"
Male,0,No,No,52,No,Two year,Bank transfer (automatic),21.0,1107.2,No,Positive,1,0.8012373855640308,8.963308202711043e-05,No,Low,indikasi sentiment sangat kuat,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,1,Yes,No,25,Fiber optic,Month-to-month,Electronic check,98.5,2514.5,Yes,Neutral,0,0.5172956826201924,0.9998332748755947,Yes,High,"monthly charge tinggi, kontrak bulanan, electronic check","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Male,0,No,No,1,No,Month-to-month,Mailed check,20.2,20.2,No,Positive,1,0.7994377142624498,0.000833440682905791,No,Low,"tenure pendek, kontrak bulanan","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,Yes,1,No,Month-to-month,Electronic check,19.45,19.45,No,Positive,1,0.8340009336365947,0.00030853821450607205,No,Low,"tenure pendek, kontrak bulanan, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,38,Fiber optic,One year,Bank transfer (automatic),95.0,3605.6,No,Positive,1,0.881175760124772,9.765746069001575e-05,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,1,Yes,No,66,DSL,One year,Bank transfer (automatic),45.55,3027.25,No,Positive,1,0.5941472635283103,0.007861750003242273,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,Yes,No,68,Fiber optic,Two year,Bank transfer (automatic),110.0,7611.85,Yes,Positive,1,0.583439242896053,0.9935721511505484,Yes,High,monthly charge tinggi,"High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Male,0,No,No,5,DSL,Month-to-month,Mailed check,24.3,100.2,No,Positive,1,0.627411985081037,0.003438695744416386,No,Low,"tenure pendek, kontrak bulanan","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
